Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
14975122,Linux System and Network Programming,Michael Kerrisk,"Kerrisk, Michael",,"=""1430224711""","=""9781430224716""",0,4.50,Apress,Paperback,1350,2009,2009,,2024/04/30,to-read,to-read (#342),to-read,,,,0,0
7672214,The Linux Programming Interface: A Linux and UNIX System Programming Handbook,Michael Kerrisk,"Kerrisk, Michael",,"=""1593272200""","=""9781593272203""",0,4.63,No Starch Press,Hardcover,1552,2010,2010,,2024/04/30,to-read,to-read (#341),to-read,,,,0,0
175482569,"How Linux Works, 3rd Edition: What Every Superuser Should Know",Brian Ward,"Ward, Brian",,"=""""","=""""",0,4.67,No Starch Press; Spiral-Bound,Spiral-bound,464,2021,,,2024/04/30,to-read,to-read (#340),to-read,,,,0,0
44936,Refactoring: Improving the Design of Existing Code,Martin Fowler,"Fowler, Martin","Kent Beck, Don Roberts, Erich Gamma","=""0201485672""","=""9780201485677""",0,4.25,Addison-Wesley Professional,Hardcover,431,1999,1999,,2024/04/30,to-read,to-read (#339),to-read,,,,0,0
20665102,Guide to the Software Engineering Body of Knowledge (SWEBOK(R)): Version 3.0,Pierre Bourque,"Bourque, Pierre","Richard E. Fairley, Institute of Electrical and Electronics Engineers","=""0769551661""","=""9780769551661""",0,3.64,IEEE Computer Society Press,Paperback,346,2014,2009,,2024/04/30,to-read,to-read (#338),to-read,,,,0,0
1101364,"Self-Organization in Complex Ecosystems. (MPB-42) (Monographs in Population Biology, 42)",Ricard V. Solé,"Solé, Ricard V.",Jordi Bascompte,"=""0691070407""","=""9780691070407""",0,3.85,Princeton University Press,Paperback,384,2006,2006,,2024/04/04,currently-reading,currently-reading (#3),currently-reading,,,,1,0
44144493,Fundamentals of Software Architecture: An Engineering Approach,Mark   Richards,"Richards, Mark",Neal Ford,"=""1492043451""","=""9781492043454""",0,4.27,O'Reilly Media,Paperback,419,2020,2020,,2024/03/21,to-read,to-read (#337),to-read,,,,0,0
39996759,A Philosophy of Software Design,John Ousterhout,"Ousterhout, John",,"=""1732102201""","=""9781732102200""",0,4.21,Yaknyam Press,Paperback,190,2018,2018,,2024/03/21,to-read,to-read (#336),to-read,,,,0,0
57345270,Modern Software Engineering: Doing What Works to Build Better Software Faster,David  Farley,"Farley, David",Trisha Gee,"=""0137314914""","=""9780137314911""",0,4.20,Addison-Wesley Professional,Paperback,256,2021,,,2024/03/21,to-read,to-read (#335),to-read,,,,0,0
1184323,Organizing Modernity: Social Ordering and Social Theory,John Law,"Law, John",,"=""0631185135""","=""9780631185130""",0,3.86,John Wiley & Sons,Paperback,228,1993,1993,,2024/03/14,to-read,to-read (#334),to-read,,,,0,0
1106611,Complexities: Social Studies of Knowledge Practices (Science and Cultural Theory),John Law,"Law, John",Annemarie Mol,"=""0822328461""","=""9780822328469""",0,4.04,Duke University Press Books,Paperback,304,2002,2002,,2024/03/14,to-read,to-read (#333),to-read,,,,0,0
1596194,"A Sociology of Monsters: Essays on Power, Technology and Domination",John Law,"Law, John",,"=""0415071399""","=""9780415071390""",0,3.84,Routledge,Paperback,277,1991,1991,,2024/03/14,to-read,to-read (#332),to-read,,,,0,0
1596198,After Method: Mess in Social Science Research (International Library of Sociology),John Law,"Law, John",,"=""0415341752""","=""9780415341752""",0,4.11,Routledge,Paperback,197,2004,2004,,2024/03/14,to-read,to-read (#331),to-read,,,,0,0
10326152,"Systems, Experts, and Computers: The Systems Approach in Management and Engineering, World War II and After (Dibner Institute Studies in the History of Science and Technology)",Agatha C. Hughes,"Hughes, Agatha C.",Thomas P. Hughes,"=""0262516047""","=""9780262516044""",0,4.10,MIT Press,Paperback,520,2011,2000,,2024/03/10,to-read,to-read (#330),to-read,,,,0,0
42418559,Art of Simulation (Unibooks),K.D. Tocher,"Tocher, K.D.",,"=""0340114525""","=""9780340114520""",0,0.0,Hodder & Stoughton Ltd,Paperback,192,1969,,,2024/03/10,to-read,to-read (#329),to-read,,,,0,0
